raw_dir,canonical_system,tier,evidence,n_utts,excluded_reason
Azzurra-Voice,Azzurra-Voice,T1,raw_dir==Azzurra-Voice,1000,
CaroTTS,CaroTTS,T1,raw_dir==CaroTTS,1000,
Cartesia.ai (Sonic-3),Cartesia-Sonic,T3,raw_dir==TableIV label -> Cartesia-Sonic,2000,
ChatTTS,ChatTTS,T1,raw_dir==ChatTTS,2000,
Chatterbox,Chatterbox,T1,raw_dir==Chatterbox,1000,
Chatterbox Multilingual,Chatterbox,T2,meta.architecture='Chatterbox'==Chatterbox,6000,
Chatterbox-Turbo,Chatterbox,T2,meta.architecture='Chatterbox'==Chatterbox,1000,
DeepGram,DeepGram,T1,raw_dir==DeepGram,2000,
Edge-TTS,Edge-TTS,T1,raw_dir==Edge-TTS,18000,
ElevenLabs-Turbo-v2.5,ElevenLabs,T2,meta.architecture='ElevenLabs'==ElevenLabs,1000,
ElevenLabs-v2-Multilingual,ElevenLabs,T2,meta.architecture='ElevenLabs'==ElevenLabs,2000,
ElevenLabs-v3,ElevenLabs,T2,meta.architecture='ElevenLabs'==ElevenLabs,2000,
FireRedTTS-2.0,FireRedTTS,T2,meta.architecture='FireRedTTS'==FireRedTTS,2000,
Fish-S2-Pro,FishTTS,T2,meta.architecture='Dual-AR'==Dual-AR; alias Dual-AR->FishTTS (methodology 1.3),10000,
FishTTS,FishTTS,T1,raw_dir==FishTTS,3000,
GLM-TTS,GLM-TTS,T1,raw_dir==GLM-TTS,1000,
Gemini-3.1-Flash-TTS,Gemini-TTS,T4,meta.architecture='Gemini'==TableIV label -> Gemini-TTS,1000,
Higgs-Audio-V2,Higgs-Audio-V2,T1,raw_dir==Higgs-Audio-V2,4000,
Hume TADA-3B-ML,TADA,T2,meta.architecture='TADA'==TADA,7000,
Index-TTS-1.5,Index-TTS,T2,meta.architecture='Index-TTS'==Index-TTS,2000,
Index-TTS-2.0,Index-TTS,T2,meta.architecture='Index-TTS'==Index-TTS,2000,
IndicF5,IndicF5,T1,raw_dir==IndicF5,4000,
Indri-TTS-0.1,Indri-TTS,T3,raw_dir==TableIV label -> Indri-TTS,2000,
Kani-TTS-370M,Kani-TTS,T2,meta.architecture='Kani-TTS'==Kani-TTS,2000,
Kartoffelbox,Chatterbox,T2,meta.architecture='Chatterbox'==Chatterbox,1000,
Kitten-TTS-Nano-0.1,Kitten-TTS,T2,meta.architecture='Kitten-TTS'==Kitten-TTS,1000,
